Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_TRONCON;TRONCON;NATURE;ID_MODE;MODE;SOUS_MODE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;MES;MES_date;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.452065118695391, 48.870818354802886]}";Aristide Briand;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;;0;1;0;8;0;;1;;1;48.8708183548, 2.4520651187
"{""type"": ""Point"", ""coordinates"": [2.443108996306995, 48.87561499382391]}";Libre Pensée;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;;0;1;0;8;0;;1;;1;48.8756149938, 2.44310899631
"{""type"": ""Point"", ""coordinates"": [2.444630802037168, 48.88583251081036]}";Carrefour de la Vierge;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;1;0;1;0;8;0;;1;;1;48.8858325108, 2.44463080204
"{""type"": ""Point"", ""coordinates"": [2.282976188020842, 48.87793268655634]}";Porte Maillot;414;Train E - Ouest;414;RER E à l'Ouest - Mantes;arrêt;4;4;6;1;0;;;0;1;0;9;0;;1;;1;48.8779326866, 2.28297618802
"{""type"": ""Point"", ""coordinates"": [2.427185577733917, 48.8813160622343]}";Liberté;110;metro 11 - RBP;110;ligne 11 à Rosny-Bois-Perrier;arrêt;1;1;1;0;0;;;0;1;0;9;0;;1;;1;48.8813160622, 2.42718557773
"{""type"": ""Point"", ""coordinates"": [2.371378701206531, 48.709063467988685]}";Le Contin;312;Tram 07;312;T7 : Athis Mons - Juvisy (Phase 2);arrêt;3;3;4;0;0;2;;0;1;0;8;0;;1;;1;48.709063468, 2.37137870121
"{""type"": ""Point"", ""coordinates"": [2.371577488383517, 48.70499970985844]}";Stade Delaune;312;Tram 07;312;T7 : Athis Mons - Juvisy (Phase 2);arrêt;3;3;4;0;0;2;;0;1;0;8;0;;1;;1;48.7049997099, 2.37157748838
"{""type"": ""Point"", ""coordinates"": [2.27482689725633, 48.92733882715297]}";Quatre Routes;302;Tram 01 - Colombes;302;T1 Ouest : Asnières - Colombes;arrêt;3;3;4;0;0;;;0;1;0;7;0;;1;;1;48.9273388272, 2.27482689726
"{""type"": ""Point"", ""coordinates"": [2.291497216450484, 48.761306007894746]}";Grenouillère;316;Tram 10;316;T10 : Tramway Antony - Clamart;arrêt;3;3;4;0;0;;;1;0;0;7;0;;1;;1;48.7613060079, 2.29149721645
"{""type"": ""Point"", ""coordinates"": [2.540303426043922, 48.90850673160616]}";Maurice Audin;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;0;0;;;0;1;0;9;0;;1;;1;48.9085067316, 2.54030342604
"{""type"": ""Point"", ""coordinates"": [2.561346901650869, 48.897834526199105]}";Parc Jean Valjean;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;0;0;;;0;1;0;9;0;;1;;1;48.8978345262, 2.56134690165
"{""type"": ""Point"", ""coordinates"": [2.555984686567398, 48.900809940412]}";Notre Dame des Anges;308;Tram 04 - CM;308;T4 Clichy - Montfermeil;arrêt;3;3;5;0;0;;;0;1;0;9;0;;1;;1;48.9008099404, 2.55598468657
"{""type"": ""Point"", ""coordinates"": [2.168030016785889, 48.711839995144565]}";Moulon;218;bus Massy - Saclay;218;TCSP Plateau de Saclay (Phase 2);arrêt;2;2;2;0;0;2;;0;1;0;9;0;;1;;1;48.7118399951, 2.16803001679
"{""type"": ""Point"", ""coordinates"": [2.191037101141745, 48.71340492187184]}";Corbeville;218;bus Massy - Saclay;218;TCSP Plateau de Saclay (Phase 2);arrêt;2;2;2;0;0;2;;0;1;0;9;0;;1;;1;48.7134049219, 2.19103710114
"{""type"": ""Point"", ""coordinates"": [2.272637936363906, 48.72343303545508]}";ZAC de la bonde;318;Tram 12;318;Tram-Train Massy-Évry;arrêt;3;3;5;0;0;;;1;0;0;8;0;;1;;1;48.7234330355, 2.27263793636
"{""type"": ""Point"", ""coordinates"": [2.465471746757163, 48.87799338768987]}";La Boissière;110;metro 11 - RBP;110;ligne 11 à Rosny-Bois-Perrier;arrêt;1;1;1;0;0;;;0;1;0;9;0;;1;;1;48.8779933877, 2.46547174676
"{""type"": ""Point"", ""coordinates"": [2.456502275743523, 48.893013368435035]}";Saint Jean;304;Tram 01 - VDF;304;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;3;4;0;0;;1;0;1;0;8;0;;1;;1;48.8930133684, 2.45650227574
"{""type"": ""Point"", ""coordinates"": [2.23388265531379, 48.92262290500084]}";Charles Péguy;302;Tram 01 - Colombes;302;T1 Ouest : Asnières - Colombes;arrêt;3;3;4;0;0;;;0;1;0;7;0;;1;;1;48.922622905, 2.23388265531
"{""type"": ""Point"", ""coordinates"": [1.809094508773784, 48.96334411275807]}";Epône Mézières;414;Train E - Ouest;414;RER E à l'Ouest - Mantes;arrêt;4;4;6;1;0;;;0;1;0;9;0;;1;;1;48.9633441128, 1.80909450877
